Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-09-08 16:00:00,6.73,6.73,6.7104,6.7104,35.0,1662656399999,235.362,4,10.0,67.112,0
2022-09-08 17:00:00,6.7424,6.8035,6.7424,6.8035,119.43,1662659999999,811.3364,4,0.0,0.0,0
2022-09-08 18:00:00,6.8035,6.8035,6.8035,6.8035,0.0,1662663599999,0.0,0,0.0,0.0,0
2022-09-08 19:00:00,6.7609,6.8264,6.7609,6.8264,6.16,1662667199999,41.9329,3,6.16,41.9329,0
2022-09-08 20:00:00,6.8091,6.8091,6.8091,6.8091,2.93,1662670799999,19.9506,1,2.93,19.9506,0
2022-09-08 21:00:00,6.7899,6.7958,6.7473,6.7473,26.13,1662674399999,176.7311,6,26.13,176.7311,0
2022-09-08 22:00:00,6.7241,6.853,6.7241,6.853,611.65,1662677999999,4135.8257,5,589.42,3986.1583,0
2022-09-08 23:00:00,6.853,6.853,6.853,6.853,16.62,1662681599999,113.8968,1,16.62,113.8968,0
2022-09-09 00:00:00,6.8571,6.8879,6.8571,6.8879,104.5,1662685199999,718.2455,3,50.0,344.395,0
2022-09-09 01:00:00,6.9584,7.1804,6.9584,7.1804,1143.08,1662688799999,8149.2263,18,120.55,865.0997,0
2022-09-09 02:00:00,7.1619,7.1619,7.0029,7.0315,681.02,1662692399999,4784.6165,18,57.84,413.2783,0
2022-09-09 03:00:00,7.0527,7.0527,7.0245,7.0411,15.4,1662695999999,108.3984,6,6.84,48.0947,0
2022-09-09 04:00:00,7.0334,7.0375,7.0334,7.0375,4.28,1662699599999,30.1116,2,0.0,0.0,0
2022-09-09 05:00:00,7.0786,7.0786,7.0786,7.0786,1.47,1662703199999,10.4055,1,1.47,10.4055,0
2022-09-09 06:00:00,7.0786,7.0786,7.0786,7.0786,0.0,1662706799999,0.0,0,0.0,0.0,0
